table_id,name,rank,monthly_allowance
professional_allowance_table_7,公務人員專業加給表七,1,10400
professional_allowance_table_7,公務人員專業加給表七,2,11200
professional_allowance_table_7,公務人員專業加給表七,3,12500
professional_allowance_table_7,公務人員專業加給表七,4,14000
professional_allowance_table_7,公務人員專業加給表七,5,15895
professional_allowance_table_7,公務人員專業加給表七,6,24870
professional_allowance_table_7,公務人員專業加給表七,7,28730
professional_allowance_table_7,公務人員專業加給表七,8,31130
professional_allowance_table_7,公務人員專業加給表七,9,33675
professional_allowance_table_7,公務人員專業加給表七,10,36295
professional_allowance_table_7,公務人員專業加給表七,11,39100
professional_allowance_table_7,公務人員專業加給表七,12,42060
professional_allowance_table_7,公務人員專業加給表七,13,45210
professional_allowance_table_7,公務人員專業加給表七,14,48590
