table_id,name,rank,monthly_allowance
professional_allowance_table_4,公務人員專業加給表四（一般行政）,1,8700
professional_allowance_table_4,公務人員專業加給表四（一般行政）,2,9400
professional_allowance_table_4,公務人員專業加給表四（一般行政）,3,10500
professional_allowance_table_4,公務人員專業加給表四（一般行政）,4,11800
professional_allowance_table_4,公務人員專業加給表四（一般行政）,5,13600
professional_allowance_table_4,公務人員專業加給表四（一般行政）,6,15900
professional_allowance_table_4,公務人員專業加給表四（一般行政）,7,20100
professional_allowance_table_4,公務人員專業加給表四（一般行政）,8,22400
professional_allowance_table_4,公務人員專業加給表四（一般行政）,9,25200
professional_allowance_table_4,公務人員專業加給表四（一般行政）,10,28100
professional_allowance_table_4,公務人員專業加給表四（一般行政）,11,31400
professional_allowance_table_4,公務人員專業加給表四（一般行政）,12,35200
professional_allowance_table_4,公務人員專業加給表四（一般行政）,13,39800
professional_allowance_table_4,公務人員專業加給表四（一般行政）,14,44900
